tanav_algne,number_algne,tanav_norm,number_norm,esinemisi,aadress_paring,x_lest,y_lest,lat,lon,staatus,vasted_arv,ads_oid,aadress_taielik,marka
Rüütli,17,Rüütli,17,1,"Tartu linn, Rüütli 17",659137.77,6474582.86,58.382660,26.721171,ok,1,EE00756570,"Tartu maakond, Tartu linn, Tartu linn, Rüütli tn 17",
Saekoja,8,Saekoja,8,1,"Tartu linn, Saekoja 8",660517.94,6472447.93,58.363003,26.743250,ok,1,CU00492923,"Tartu maakond, Tartu linn, Tartu linn, Saekoja tn 8",
Savi,6,Savi,6,2,"Tartu linn, Savi 6",657597.92,6471762.56,58.357919,26.692932,multiple,2,EE00752180,"Tartu maakond, Tartu linn, Tartu linn, Savi tn 6",
Soola,16,Soola,16,2,"Tartu linn, Soola 16",,,,,not_found,0,,,
Soola,10,Soola,10,2,"Tartu linn, Soola 10",659926.79,6474162.38,58.378595,26.734355,multiple,5,ME00752783,"Tartu maakond, Tartu linn, Tartu linn, Soola tn 10",
Suurturg,4,Raekoja plats,4,1,"Tartu linn, Raekoja plats 4",659179.59,6474336.97,58.380438,26.721718,ok,1,ME00771343,"Tartu maakond, Tartu linn, Tartu linn, Raekoja plats 4",vana nimi 'Suurturg' → 'Raekoja plats'
Suurturg,18,Raekoja plats,18,1,"Tartu linn, Raekoja plats 18",659324.61,6474381.08,58.380780,26.724225,ok,1,ME00757990,"Tartu maakond, Tartu linn, Tartu linn, Raekoja plats 18",vana nimi 'Suurturg' → 'Raekoja plats'
Suurturg,10,Raekoja plats,10,1,"Tartu linn, Raekoja plats 10",659248.41,6474346.93,58.380503,26.722886,ok,1,EE02172286,"Tartu maakond, Tartu linn, Tartu linn, Raekoja plats 10",vana nimi 'Suurturg' → 'Raekoja plats'
Suurturg,9,Raekoja plats,9,1,"Tartu linn, Raekoja plats 9",659295.98,6474302.43,58.380082,26.723675,ok,1,ME00767229,"Tartu maakond, Tartu linn, Tartu linn, Raekoja plats 9",vana nimi 'Suurturg' → 'Raekoja plats'
Sõbra,3,Sõbra,3,5,"Tartu linn, Sõbra 3",659319.61,6472638.73,58.365154,26.722931,multiple,5,EE00773688,"Tartu maakond, Tartu linn, Tartu linn, Sõbra tn 3",
Sõbra,32,Sõbra,32,1,"Tartu linn, Sõbra 32",659850.99,6472608.94,58.364691,26.731976,ok,1,EE00773709,"Tartu maakond, Tartu linn, Tartu linn, Sõbra tn 32",
Söögiturg,3,Küüni,3,1,"Tartu linn, Küüni 3",659259.71,6474247.64,58.379610,26.723023,ok,1,ME00747949,"Tartu maakond, Tartu linn, Tartu linn, Küüni tn 3",KAHTLANE mapping: 'Söögiturg' → 'Küüni' (kontrollida)
Söögiturg,1,Küüni,1,1,"Tartu linn, Küüni 1",659241.55,6474276.94,58.379877,26.722735,ok,1,ME00747950,"Tartu maakond, Tartu linn, Tartu linn, Küüni tn 1",KAHTLANE mapping: 'Söögiturg' → 'Küüni' (kontrollida)
Tallinna,38,Tallinna,38,1,"Tartu linn, Tallinna 38",,,,,not_found,0,,,
Tallinna,59,Tallinna,59,1,"Tartu linn, Tallinna 59",,,,,not_found,0,,,
Tallinna,,Tallinna,,1,"Tartu linn, Tallinna",652747.98,6477358.29,58.409836,26.613867,multiple,5,CU04059777,"Tartu maakond, Tartu linn, Rahinge küla, 2 Tallinna-Tartu-Võru-Luhamaa tee",
Tallinna,46,Tallinna,46,1,"Tartu linn, Tallinna 46",,,,,not_found,0,,,
Tallinna,14,Tallinna,14,2,"Tartu linn, Tallinna 14",,,,,not_found,0,,,
Tallinna,17,Tallinna,17,2,"Tartu linn, Tallinna 17",,,,,not_found,0,,,
Tammepuiestee,5,Tammepuiestee,5,1,"Tartu linn, Tammepuiestee 5",,,,,not_found,0,,,
Tammepuiestee,9,Tammepuiestee,9,2,"Tartu linn, Tammepuiestee 9",,,,,not_found,0,,,
Tiigi,24,Tiigi,24,1,"Tartu linn, Tiigi 24",,,,,not_found,0,,,
Tiigi,42,Tiigi,42,2,"Tartu linn, Tiigi 42",,,,,not_found,0,,,
Tiigi,26,Tiigi,26,7,"Tartu linn, Tiigi 26",,,,,not_found,0,,,
Tiigi,31,Tiigi,31,3,"Tartu linn, Tiigi 31",,,,,not_found,0,,,
Tiigi,9,Tiigi,9,2,"Tartu linn, Tiigi 9",659012.64,6473933.83,58.376883,26.718587,ok,1,EE00769733,"Tartu maakond, Tartu linn, Tartu linn, Tiigi tn 9",
Tiigi,28,Tiigi,28,6,"Tartu linn, Tiigi 28",,,,,not_found,0,,,
Tiigi,58,Tiigi,58,3,"Tartu linn, Tiigi 58",,,,,not_found,0,,,
Tiigi,61,Tiigi,61,1,"Tartu linn, Tiigi 61",658625.00,6473633.29,58.374324,26.711752,multiple,4,ME00758151,"Tartu maakond, Tartu linn, Tartu linn, Tiigi tn 61",
Tiigi,56,Tiigi,56,2,"Tartu linn, Tiigi 56",,,,,not_found,0,,,
Tiigi,78,Tiigi,78,1,"Tartu linn, Tiigi 78",658591.89,6473570.41,58.373771,26.711145,ok,1,ME01899452,"Tartu maakond, Tartu linn, Tartu linn, Tiigi tn 78",
Tiigi,10,Tiigi,10,1,"Tartu linn, Tiigi 10",658845.55,6473752.35,58.375311,26.715609,multiple,5,EE00763772,"Tartu maakond, Tartu linn, Tartu linn, Tiigi tn 10",
Tolstoi,10,Tolstoi,10,4,"Tartu linn, Tolstoi 10",659795.40,6473157.01,58.369628,26.731401,ok,1,EE00749280,"Tartu maakond, Tartu linn, Tartu linn, L. Tolstoi tn 10",
Tolstoi,3,Tolstoi,3,1,"Tartu linn, Tolstoi 3",659706.88,6473065.52,58.368844,26.729835,ok,1,EE03669793,"Tartu maakond, Tartu linn, Tartu linn, L. Tolstoi tn 3",
Tolstoi,14,Tolstoi,14,4,"Tartu linn, Tolstoi 14",659824.34,6473159.40,58.369635,26.731897,ok,1,EE01001385,"Tartu maakond, Tartu linn, Tartu linn, L. Tolstoi tn 14",
Tolstoi,1,Tolstoi,1,1,"Tartu linn, Tolstoi 1",659687.57,6473055.12,58.368752,26.729503,multiple,5,EE00761437,"Tartu maakond, Tartu linn, Tartu linn, L. Tolstoi tn 1",
Turu,80,Turu,80,1,"Tartu linn, Turu 80",,,,,not_found,0,,,
Turu,1 l-a,Turu,1a,1,"Tartu linn, Turu 1a",,,,,not_found,0,,,
Turu,11-a,Turu,11a,1,"Tartu linn, Turu 11a",659890.53,6473699.41,58.374455,26.733417,ok,1,CU01640716,"Tartu maakond, Tartu linn, Tartu linn, Turu tn 11a",
Turu,83,Turu,83,1,"Tartu linn, Turu 83",,,,,not_found,0,,,
Tähe,44,Tähe,44,2,"Tartu linn, Tähe 44",659662.77,6473011.02,58.368366,26.729046,ok,1,EE00767713,"Tartu maakond, Tartu linn, Tartu linn, Tähe tn 44",
Tähe,73,Tähe,73,1,"Tartu linn, Tähe 73",659713.76,6472684.93,58.365423,26.729690,ok,1,EE00773939,"Tartu maakond, Tartu linn, Tartu linn, Tähe tn 73",
Tähe,9,Tähe,9,1,"Tartu linn, Tähe 9",659798.32,6472286.62,58.361822,26.730847,multiple,5,EE00766025,"Tartu maakond, Tartu linn, Tartu linn, Tähe tn 90",
Tähe,43,Tähe,43,1,"Tartu linn, Tähe 43",659621.50,6473033.73,58.368588,26.728361,ok,1,EE01864295,"Tartu maakond, Tartu linn, Tartu linn, Tähe tn 43",
Tähe,77,Tähe,77,1,"Tartu linn, Tähe 77",659700.86,6472660.59,58.365213,26.729451,ok,1,EE03672375,"Tartu maakond, Tartu linn, Tartu linn, Tähe tn 77",
Tähe,80,Tähe,80,1,"Tartu linn, Tähe 80",659790.37,6472410.79,58.362937,26.730797,ok,1,EE03597477,"Tartu maakond, Tartu linn, Tartu linn, Tähe tn 80",
Tähe,125,Tähe,125,3,"Tartu linn, Tähe 125",659730.97,6471440.29,58.354248,26.729115,ok,1,EE00750111,"Tartu maakond, Tartu linn, Tartu linn, Tähe tn 125",
Tähe,54,Tähe,54,1,"Tartu linn, Tähe 54",659718.78,6472909.46,58.367431,26.729931,multiple,5,EE00768730,"Tartu maakond, Tartu linn, Tartu linn, Tähe tn 54",
Tähe,69,Tähe,69,1,"Tartu linn, Tähe 69",659706.44,6472750.46,58.366009,26.729598,ok,1,EE00993438,"Tartu maakond, Tartu linn, Tartu linn, Tähe tn 69",
Tähe,33,Tähe,33,5,"Tartu linn, Tähe 33",659593.51,6473100.94,58.369199,26.727930,ok,1,EE00773852,"Tartu maakond, Tartu linn, Tartu linn, Tähe tn 33",
Tähe,83,Tähe,83,1,"Tartu linn, Tähe 83",659732.99,6472536.84,58.364088,26.729911,ok,1,EE00758629,"Tartu maakond, Tartu linn, Tartu linn, Tähe tn 83",
Tähe,38,Tähe,38,1,"Tartu linn, Tähe 38",659635.77,6473091.95,58.369103,26.728641,multiple,2,EE01933583,"Tartu maakond, Tartu linn, Tartu linn, Tähe tn 38",
